Sample_ID,DWV_Cq,Reference_Cq,DWV_presence,Taxa,Family,Subfamily,Genus,Species,Sex,Apiary_ID,Julian_Day
Apiary_7_100520_P11,25.23,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_21_092020_P5,25.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_21,264
Apiary_15_092620_P7,25.29,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_16_092020_P10,25.32,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,264
Apiary_26_091920_P6,25.37,none,1,bumble,Apidae,NA,Bombus,Bombus imaptiens,M,Apiary_26,263
Apiary_6_091020_P9,25.48,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,254
Apiary_15_091620_P3,25.52,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,260
Apiary_25_092120_P8,25.72,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_25,265
Apiary_21_092020_P4,26.15,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,264
Apiary_10_092220_P6,26.17,none,1,bumble,Apidae,NA,Bombus,Bombus sandersoni,M,Apiary_10,266
Apiary_11_092120_P1,26.37,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_11,265
Apiary_10_092220_P11,26.71,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,266
Apiary_5_091420_P1,26.8,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_5,258
Apiary_5_091420_P24,26.82,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_5,258
Apiary_26_091920_P14,26.82,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_26,263
Apiary_9_092220_P10,26.95,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,266
Apiary_26_091920_P5,27.07,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_26,263
Apiary_5_091420_P21,27.07,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_26_091920_P24,27.11,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,263
Apiary_8_100220_P13,27.16,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_5_091420_P9,27.29,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_5,258
Apiary_3_091520_P3,27.35,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_21_091020_P15,27.35,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_21,254
Apiary_26_091920_P4,27.39,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_26,263
Apiary_4_091420_P2,27.44,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_23_092120_P11,27.46,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_6_092020_P5,27.57,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_6,264
Apiary_6_091020_P13,27.59,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_6,254
Apiary_26_091920_P1,27.66,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,263
Apiary_16_091020_P2,27.76,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,254
Apiary_9_091220_P4,27.78,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_6_092020_P16,27.82,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,264
Apiary_9_092220_P9,27.83,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,266
Apiary_25_091120_P10,27.88,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_25,255
Apiary_15_091620_P15,27.9,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,260
Apiary_8_100220_P6,27.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_23_092120_P17,27.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_16_092020_P1,28.01,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_16,264
Apiary_1_091520_P14,28.03,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_1,259
Apiary_11_092120_P16,28.07,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_11,265
Apiary_1_100120_P10,28.1,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_1,275
Apiary_6_092020_P3,28.17,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,264
Apiary_12_092620_P14,28.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,270
Apiary_15_092620_P6,28.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_9_091220_P10,28.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_4_091420_P1,28.37,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_6_092020_P4,28.37,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,264
Apiary_11_092120_P11,28.39,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,265
Apiary_8_100220_P10,28.51,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,276
Apiary_4_091420_P6,28.54,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_26_091920_P9,28.55,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_26,263
Apiary_10_092220_P4,28.56,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_10,266
Apiary_16_091020_P13,28.67,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,254
Apiary_13_092320_P8,28.72,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_13,267
Apiary_15_091620_P20,28.74,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,260
Apiary_5_091420_P13,28.76,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_11_091120_P4,28.83,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_9_092220_P16,28.92,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,U,Apiary_9,266
Apiary_6_091020_P11,28.92,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_6,254
Apiary_15_091620_P1,28.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,Q,Apiary_15,260
Apiary_18_092220_P9,29.05,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_6_092020_P14,29.07,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,264
Apiary_14_090920_P16,29.09,14.78333333,1,wild bee,Halictidae,NA,unknown,unknown,F,Apiary_14,253
Apiary_4_091420_P24,29.11,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_7_091720_P5,29.11,15.32333333,1,wild bee,Apidae,NA,Melissodes,Melissodes sp.,M,Apiary_7,261
Apiary_2_091920_P1,29.14,16.73333333,1,wild bee,Apidae,NA,Anthophora,Anthophora sp.,M,Apiary_2,263
Apiary_9_091220_P6,29.15,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_21_092020_P6,29.19,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_21,264
Apiary_16_092020_P11,29.19,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,264
Apiary_26_091920_P11,29.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,263
Apiary_11_091120_P2,29.25,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_15_091620_P4,29.27,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_15,260
Apiary_4_091420_P7,29.3,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,W,Apiary_4,258
Apiary_6_091020_P15,29.31,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,254
Apiary_14_090920_P1,29.34,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_14,253
Apiary_23_092120_P3,29.34,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_8_100220_P14,29.37,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_26_091920_P8,29.38,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,263
